,ricebought,cleanyard,housetype,nearstable,own_hhappliance,housesqm,own_vehicles,own_receivables,outerwall,numroom,own_jewelry,floor,ipercap,own_fininstrument_7,own_fininstrument_14
1890,4.0,1.0,8.0,3.0,3.0,24.0,1.0,3.0,2.0,2.0,1.0,4.0,800000.0,3.0,3.0
1892,16.0,1.0,1.0,1.0,1.0,20.0,3.0,3.0,2.0,4.0,3.0,4.0,466000.0,3.0,3.0
1893,0.75,3.0,8.0,3.0,3.0,60.0,3.0,3.0,2.0,3.0,3.0,4.0,600000.0,3.0,3.0
1894,0.0,1.0,8.0,1.0,1.0,24.0,1.0,3.0,2.0,2.0,3.0,4.0,0.0,3.0,3.0
1895,15.0,3.0,8.0,3.0,1.0,9.0,3.0,3.0,2.0,2.0,1.0,4.0,1935000.0,3.0,3.0
1896,0.0,3.0,8.0,1.0,1.0,30.0,1.0,3.0,2.0,3.0,3.0,4.0,0.0,3.0,3.0
1898,17.0,1.0,2.0,3.0,1.0,84.0,1.0,3.0,2.0,3.0,3.0,4.0,1042857.1428571428,3.0,3.0
1899,0.0,1.0,8.0,3.0,3.0,12.0,3.0,3.0,2.0,3.0,3.0,4.0,2000000.0,3.0,3.0
1900,4.0,3.0,8.0,1.0,1.0,24.0,3.0,3.0,2.0,2.0,1.0,4.0,283333.3333333333,3.0,3.0
1901,10.0,3.0,1.0,1.0,1.0,28.0,3.0,3.0,2.0,5.0,3.0,6.0,1127272.7272727273,3.0,3.0
1902,5.0,3.0,100.0,3.0,3.0,36.0,3.0,3.0,1.0,3.0,1.0,3.0,905000.0,3.0,3.0
1903,80.0,3.0,8.0,3.0,1.0,15.0,3.0,3.0,2.0,2.0,3.0,4.0,0.0,3.0,3.0
1904,4.0,3.0,8.0,3.0,1.0,15.0,3.0,3.0,2.0,4.0,3.0,4.0,663636.3636363636,3.0,3.0
1905,4.0,1.0,8.0,3.0,3.0,18.0,1.0,3.0,2.0,2.0,1.0,4.0,1350000.0,3.0,3.0
1906,6.0,3.0,8.0,3.0,3.0,8.0,1.0,3.0,2.0,2.0,3.0,4.0,1200000.0,3.0,3.0
1907,7.0,3.0,8.0,3.0,1.0,15.0,3.0,3.0,2.0,2.0,3.0,4.0,316000.0,3.0,3.0
1908,32.0,1.0,2.0,3.0,1.0,247.0,1.0,1.0,2.0,13.0,1.0,1.0,10161538.461538462,3.0,3.0
1910,21.0,1.0,8.0,3.0,1.0,96.0,1.0,3.0,1.0,7.0,3.0,4.0,750000.0,3.0,3.0
1911,0.0,1.0,2.0,1.0,1.0,80.0,1.0,1.0,1.0,7.0,3.0,3.0,0.0,3.0,3.0
1913,7.0,1.0,8.0,3.0,1.0,48.0,3.0,3.0,2.0,5.0,1.0,4.0,909750.0,3.0,3.0
1914,0.0,3.0,8.0,1.0,1.0,24.0,3.0,3.0,2.0,3.0,1.0,4.0,0.0,1.0,3.0
1915,35.0,3.0,8.0,1.0,1.0,32.0,3.0,3.0,2.0,4.0,3.0,4.0,600000.0,3.0,3.0
1916,8.0,3.0,2.0,3.0,1.0,48.0,3.0,3.0,1.0,2.0,3.0,3.0,380000.0,3.0,3.0
1917,0.0,3.0,8.0,3.0,1.0,72.0,3.0,1.0,2.0,4.0,1.0,4.0,380000.0,3.0,3.0
1918,0.0,1.0,8.0,3.0,1.0,108.0,1.0,3.0,2.0,6.0,3.0,4.0,2057142.857142857,3.0,3.0
1920,7.0,3.0,1.0,3.0,1.0,42.0,3.0,3.0,2.0,3.0,3.0,2.0,3128571.4285714286,3.0,3.0
1921,8.0,1.0,1.0,1.0,1.0,24.0,1.0,3.0,2.0,3.0,3.0,3.0,1158333.3333333333,3.0,3.0
1923,4.0,1.0,2.0,3.0,1.0,28.0,1.0,3.0,2.0,4.0,3.0,4.0,1285714.2857142857,3.0,3.0
1924,8.0,1.0,2.0,3.0,1.0,98.0,1.0,3.0,2.0,6.0,3.0,4.0,3390000.0,3.0,3.0
1925,16.0,3.0,8.0,1.0,1.0,24.0,3.0,3.0,2.0,3.0,3.0,4.0,1633333.3333333333,3.0,3.0
1926,16.0,1.0,8.0,1.0,1.0,40.0,3.0,3.0,2.0,4.0,3.0,4.0,2340000.0,3.0,3.0
1927,16.0,3.0,2.0,3.0,1.0,36.0,1.0,3.0,2.0,3.0,3.0,4.0,571428.5714285715,3.0,3.0
1929,0.0,1.0,8.0,1.0,1.0,98.0,1.0,3.0,2.0,6.0,3.0,4.0,280000.0,3.0,3.0
1930,0.0,1.0,1.0,1.0,1.0,160.0,1.0,3.0,1.0,8.0,1.0,3.0,1166666.6666666667,3.0,3.0
1931,16.0,1.0,8.0,3.0,1.0,72.0,1.0,3.0,2.0,6.0,3.0,4.0,693750.0,3.0,3.0
1932,16.0,1.0,1.0,3.0,1.0,144.0,3.0,3.0,1.0,6.0,3.0,1.0,4350000.0,3.0,1.0
1933,0.0,1.0,8.0,3.0,1.0,570.0,1.0,3.0,2.0,7.0,3.0,4.0,3400000.0,3.0,3.0
1935,4.0,1.0,3.0,3.0,1.0,46.0,1.0,3.0,1.0,5.0,3.0,1.0,7800000.0,3.0,1.0
1936,16.0,1.0,8.0,1.0,1.0,160.0,3.0,3.0,2.0,5.0,1.0,4.0,2590909.090909091,3.0,3.0
1938,0.0,3.0,8.0,1.0,3.0,70.0,1.0,3.0,2.0,4.0,3.0,4.0,1408000.0,3.0,3.0
